Hour,Temperature,Forecast,Rain,Rain_rate,Cloud_rate,Pressure,Wind,Gust,Day,Month,Year,Weather
0,26.0,28.0,0.0,0.0,0.1,1015.0,8.0,11.0,1,1,2020,Clear
3,25.0,26.0,0.0,0.0,0.19,1014.0,8.0,13.0,1,1,2020,Clear
6,24.0,26.0,0.0,0.0,0.1,1015.0,8.0,11.0,1,1,2020,Clear
9,29.0,30.0,0.0,0.0,0.05,1016.0,7.0,15.0,1,1,2020,Clear
12,34.0,34.0,0.0,0.0,0.08,1015.0,10.0,17.0,1,1,2020,Clear
15,35.0,36.0,0.0,0.0,0.12,1012.0,10.0,19.0,1,1,2020,Clear
18,32.0,35.0,0.0,0.0,0.13,1013.0,10.0,14.0,1,1,2020,Clear
21,29.0,31.0,0.0,0.0,0.13,1014.0,8.0,12.0,1,1,2020,Clear
0,27.0,29.0,0.0,0.0,0.09,1016.0,7.0,10.0,2,1,2020,Clear
3,25.0,27.0,0.0,0.0,0.08,1015.0,6.0,10.0,2,1,2020,Clear
6,24.0,26.0,0.0,0.0,0.08,1015.0,8.0,11.0,2,1,2020,Clear
9,29.0,30.0,0.0,0.0,0.08,1016.0,9.0,15.0,2,1,2020,Clear
12,33.0,35.0,0.0,0.0,0.17,1014.0,10.0,17.0,2,1,2020,Clear
15,35.0,37.0,0.0,0.0,0.16,1011.0,9.0,17.0,2,1,2020,Clear
18,33.0,38.0,0.0,0.0,0.08,1012.0,9.0,10.0,2,1,2020,Clear
21,29.0,31.0,0.0,0.0,0.1,1014.0,8.0,11.0,2,1,2020,Clear
0,27.0,28.0,0.0,0.0,0.26,1015.0,10.0,14.0,3,1,2020,Partly cloudy
3,26.0,28.0,0.0,0.0,0.08,1014.0,8.0,10.0,3,1,2020,Clear
6,25.0,26.0,0.0,0.0,0.23,1014.0,7.0,9.0,3,1,2020,Clear
9,29.0,31.0,0.0,0.0,0.14,1015.0,5.0,6.0,3,1,2020,Clear
12,32.0,34.0,0.0,0.0,0.08,1013.0,4.0,10.0,3,1,2020,Clear
15,34.0,35.0,0.0,0.0,0.15,1010.0,4.0,13.0,3,1,2020,Clear
18,32.0,35.0,0.0,0.0,0.14,1011.0,7.0,9.0,3,1,2020,Clear
